blockid,dist2mid,rlmid_emp,rlmid_the,session_id,MDHM,Date,jul_day,Time,hour,dur_hr,treatment,species,num_idv,obs,foraging,block,block_ns,platform_bearing,platform_distance,tide_dist,tide_ht,fish,block_fac,x,y
1S,25,145.55271403066138,153.04119982655925,B010,8_11_13_47,2020-08-11,17,13:47:00,13,0.5,OFF,HS,1,LB,1,1,S,NA,7,6,2.22,891,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B010,8_11_13_49,2020-08-11,17,13:49:00,13,0.5,OFF,HS,2,LB,0,1,S,NA,30,29,2.22,891,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B010,8_11_13_50,2020-08-11,17,13:50:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,42,41,2.21,891,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B010,8_11_14_0,2020-08-11,17,14:00:00,14,0.5,OFF,HS,1,LB,0,1,S,NA,35,34,2.19,891,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B010,8_11_14_11,2020-08-11,17,14:11:00,14,0.5,OFF,HS,1,LB,0,1,S,NA,42,41,2.15,891,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B013,8_12_11_19,2020-08-12,18,11:19:00,11,0.5,OFF,HS,1,LB,1,1,S,NA,48,47,2.23,137,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B013,8_12_11_27,2020-08-12,18,11:27:00,11,0.5,OFF,HS,1,LB,0,1,S,NA,45,44,2.26,137,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B014,8_12_13_39,2020-08-12,18,13:39:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,33,32,2.52,137,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B014,8_12_13_41,2020-08-12,18,13:41:00,13,0.5,OFF,HS,2,LB,0,1,S,NA,38,37,2.52,137,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B014,8_12_13_43,2020-08-12,18,13:43:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,15,12,2.52,137,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B016,8_13_10_38,2020-08-13,19,10:38:00,10,0.5,OFF,HS,1,LB,0,1,S,NA,23,21,1.54,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_14,2020-08-13,19,11:14:00,11,0.5,OFF,HS,1,LB,0,1,S,NA,32,31,1.83,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_18,2020-08-13,19,11:18:00,11,0.5,OFF,HS,1,LB,0,1,S,NA,21,19,1.86,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_27,2020-08-13,19,11:27:00,11,0.5,OFF,HS,1,LB,0,1,S,NA,28,27,1.93,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_31,2020-08-13,19,11:31:00,11,0.5,OFF,HS,2,LB,1,1,S,NA,3,8,1.96,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_36,2020-08-13,19,11:36:00,11,0.5,OFF,HS,2,LB,0,1,S,NA,39,38,2,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_38,2020-08-13,19,11:38:00,11,0.5,OFF,HS,1,LB,0,1,S,NA,12,8,2.01,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_39,2020-08-13,19,11:39:00,11,0.5,OFF,HS,1,LB,0,1,S,NA,30,29,2.02,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B017,8_13_11_42,2020-08-13,19,11:42:00,11,0.5,OFF,HS,3,LB,0,1,S,NA,39,38,2.04,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B018,8_13_12_2,2020-08-13,19,12:02:00,12,0.5,OFF,HS,1,LB,0,1,S,NA,30,29,2.18,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B018,8_13_12_26,2020-08-13,19,12:26:00,12,0.5,OFF,HS,1,LB,0,1,S,NA,43,42,2.33,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B019,8_13_13_41,2020-08-13,19,13:41:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,2,9,2.63,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B019,8_13_13_47,2020-08-13,19,13:47:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,27,25,2.65,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B020,8_13_14_7,2020-08-13,19,14:07:00,14,0.5,OFF,HS,2,LB,0,1,S,NA,19,16,2.69,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B020,8_13_14_28,2020-08-13,19,14:28:00,14,0.5,OFF,HS,1,LB,0,1,S,NA,45,44,2.71,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B020,8_13_14_31,2020-08-13,19,14:31:00,14,0.5,OFF,HS,3,LB,0,1,S,NA,33,32,2.72,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B021,8_13_15_14,2020-08-13,19,15:14:00,15,0.5,OFF,HS,1,LB,0,1,S,NA,42,41,2.74,202,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B022,8_14_13_9,2020-08-14,20,13:09:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,18,16,2.36,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B022,8_14_13_13,2020-08-14,20,13:13:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,23,21,2.38,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B022,8_14_13_19,2020-08-14,20,13:19:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,21,19,2.43,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B023,8_14_13_47,2020-08-14,20,13:47:00,13,0.5,OFF,HS,1,LB,0,1,S,NA,42,41,2.6,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B023,8_14_13_53,2020-08-14,20,13:53:00,13,0.5,OFF,HS,1,LB,1,1,S,NA,23,21,2.63,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B023,8_14_13_54,2020-08-14,20,13:54:00,13,0.5,OFF,HS,1,LB,1,1,S,NA,28,26,2.64,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,B024,8_14_14_42,2020-08-14,20,14:42:00,14,0.5,OFF,HS,1,LB,0,1,S,NA,30,28,2.83,632,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,T006,8_15_13_16,2020-08-15,21,13:16:00,13,0.5,ON,HS,1,LB,1,1,S,339,24,22,2.07,170,0,22.405930235932836,8.600830789087219
1S,25,145.55271403066138,153.04119982655925,T009,8_15_15_53,2020-08-15,21,15:53:00,15,0.5,ON,HS,1,LB,0,1,S,340,25,23,3.09,170,0,23.49231551964771,8.550503583141714
1S,25,145.55271403066138,153.04119982655925,T009,8_15_15_57,2020-08-15,21,15:57:00,15,0.5,ON,HS,1,LB,0,1,S,71,17,14,3.1,170,0,5.534658625771665,-16.073815785188383
1S,25,145.55271403066138,153.04119982655925,T010,8_15_16_24,2020-08-15,21,16:24:00,16,0.5,ON,HS,1,LB,0,1,S,316,32,30,3.15,170,0,23.018873610836827,22.229067854687923
1S,25,145.55271403066138,153.04119982655925,T010,8_15_16_33,2020-08-15,21,16:33:00,16,0.5,ON,HS,1,LB,0,1,S,310,10,1,3.15,170,0,6.4278760968653925,7.660444431189781
1S,25,145.55271403066138,153.04119982655925,T016,8_16_14_21,2020-08-16,22,14:21:00,14,0.5,ON,HS,2,LB,0,1,S,14,36,35,2.35,551,0,34.930646145935874,-8.709188241588038
1S,25,145.55271403066138,153.04119982655925,T016,8_16_14_25,2020-08-16,22,14:25:00,14,0.5,ON,HS,1,LB,0,1,S,286,27,25,2.4,551,0,7.4422086070589835,25.954065790334607
