date,X_year_daily_chin,X_year_cum_chin,chin_day,chin_cum,chin_perc_complete,X_year_daily_sock,X_year_cum_sock,sock_day,sock_cum,sock_perc_complete,X_year_daily_coho,X_year_cum_coho,coho_day,coho_cum,coho_perc_complete
12-Jun,2,2,0,0,0,666,666,9,9,0.01,0,0,0,0,0
13-Jun,2,4,0,0,0,463,"1,129",9,17,0.01,0,0,0,0,0
14-Jun,1,5,0,0,0,451,"1,581",2,20,0.02,0,0,0,0,0
15-Jun,1,6,0,0,0,738,"2,319",9,29,0.03,0,0,0,0,0
16-Jun,3,9,0,0,0,"1,043","3,362",28,57,0.04,0,0,0,0,0
17-Jun,1,10,0,0,0,990,"4,352",2,58,0.05,0,0,0,0,0
18-Jun,2,12,0,0,0,"1,019","5,371",9,67,0.06,0,0,0,0,0
19-Jun,2,15,0,0,0,"1,199","6,569",58,125,0.08,0,0,0,0,0
20-Jun,0,15,0,0,0,"1,630","8,200",79,203,0.09,0,0,0,0,0
21-Jun,3,17,0,0,0,"1,402","9,602",172,375,0.11,0,0,0,0,0
22-Jun,2,20,0,0,0,"2,194","11,796",67,443,0.14,0,0,0,0,0
23-Jun,3,22,0,0,0,"2,565","14,361",249,692,0.16,0,0,0,0,0
24-Jun,2,25,0,0,0,"1,790","16,151",182,874,0.19,0,0,0,0,0
25-Jun,1,26,0,0,0,"2,314","18,465",142,"1,016",0.21,0,0,0,0,0
26-Jun,1,27,0,0,0,"2,064","20,529",701,"1,717",0.24,0,0,0,0,0
27-Jun,3,30,0,0,0,"2,487","23,016",13,"1,730",0.26,0,0,0,0,0
28-Jun,7,37,17,17,0,"2,537","25,553","1,165","2,895",0.29,0,0,0,0,0
29-Jun,4,41,0,17,0.01,"2,785","28,338","1,937","4,832",0.33,0,0,0,0,0
30-Jun,6,47,0,17,0.01,"2,931","31,269","1,505","6,337",0.36,0,0,0,0,0
1-Jul,5,51,0,17,0.01,"2,598","33,867",440,"6,777",0.39,0,0,0,0,0
2-Jul,7,59,0,17,0.01,"2,680","36,547",786,"7,563",0.42,0,0,0,0,0
3-Jul,3,61,0,17,0.01,"2,644","39,191",816,"8,379",0.45,0,0,0,0,0
4-Jul,7,68,9,26,0.01,"3,938","43,129",712,"9,091",0.5,0,0,0,0,0
